ID    ReferenceType ReferenceID
Sphenobaiera_boeggildiana	NomRef	Sphenobaiera_boeggildiana-ref
Sphenobaiera_browniana	NomRef	Sphenobaiera_browniana-ref
Sphenobaiera_calensis	NomRef	Sphenobaiera_calensis-ref
Sphenobaiera_consimilis	NomRef	Sphenobaiera_consimilis-ref
Sphenobaiera_coreanica	NomRef	Sphenobaiera_coreanica-ref
Sphenobaiera_coronata	NomRef	Sphenobaiera_coronata-ref
Sphenobaiera_crassinervis	NomRef	Sphenobaiera_crassinervis-ref
Sphenobaiera_cretosa	NomRef	Sphenobaiera_cretosa-ref
Sphenobaiera_czekanowskiana	NomRef	Sphenobaiera_czekanowskiana-ref
Sphenobaiera_doludenkoae	NomRef	Sphenobaiera_doludenkoae-ref
Sphenobaiera_dzergalanensis	NomRef	Sphenobaiera_dzergalanensis-ref
Sphenobaiera_eccaensis	NomRef	Sphenobaiera_eccaensis-ref
Sphenobaiera_eurybasis	NomRef	Sphenobaiera_eurybasis-ref
Sphenobaiera_fengii	NomRef	Sphenobaiera_fengii-ref
Sphenobaiera_flabellata	NomRef	Sphenobaiera_flabellata-ref
Sphenobaiera_fujianensis	NomRef	Sphenobaiera_fujianensis-ref
Sphenobaiera_furcata	NomRef	Sphenobaiera_furcata-ref
Sphenobaiera_ginkgooides	NomRef	Sphenobaiera_ginkgooides-ref
Sphenobaiera_grandis	NomRef	Sphenobaiera_grandis-ref
Sphenobaiera_granulifer	NomRef	Sphenobaiera_granulifer-ref
Sphenobaiera_gyron	NomRef	Sphenobaiera_gyron-ref
Sphenobaiera_helvetica	NomRef	Sphenobaiera_helvetica-ref
Sphenobaiera_horniana	NomRef	Sphenobaiera_horniana-ref
Sphenobaiera_huangii	NomRef	Sphenobaiera_huangii-ref
Sphenobaiera_ikorfatensis	NomRef	Sphenobaiera_ikorfatensis-ref
Sphenobaiera_insecta	NomRef	Sphenobaiera_insecta-ref
Sphenobaiera_irkutensis	NomRef	Sphenobaiera_irkutensis-ref
Sphenobaiera_janarensis	NomRef	Sphenobaiera_janarensis-ref
Sphenobaiera_kazachstanica	NomRef	Sphenobaiera_kazachstanica-ref
Sphenobaiera_kolyvanica	NomRef	Sphenobaiera_kolyvanica-ref
Sphenobaiera_lenaensis	NomRef	Sphenobaiera_lenaensis-ref
Sphenobaiera_leptophylla	NomRef	Sphenobaiera_leptophylla-ref
Sphenobaiera_longifolia	NomRef	Sphenobaiera_longifolia-ref
Sphenobaiera_macrofolia	NomRef	Sphenobaiera_macrofolia-ref
Sphenobaiera_magnifolia	NomRef	Sphenobaiera_magnifolia-ref
Sphenobaiera_micronervis	NomRef	Sphenobaiera_micronervis-ref
Sphenobaiera_mixteca	NomRef	Sphenobaiera_mixteca-ref
Sphenobaiera_multifida	NomRef	Sphenobaiera_multifida-ref
Sphenobaiera_multipartita	NomRef	Sphenobaiera_multipartita-ref
Sphenobaiera_nipponica	NomRef	Sphenobaiera_nipponica-ref
Sphenobaiera_ophioglossum	NomRef	Sphenobaiera_ophioglossum-ref
Sphenobaiera_orientalis	NomRef	Sphenobaiera_orientalis-ref
Sphenobaiera_paraangustiloba	NomRef	Sphenobaiera_paraangustiloba-ref
Sphenobaiera_paragrandis	NomRef	Sphenobaiera_paragrandis-ref
Sphenobaiera_paucinervis	NomRef	Sphenobaiera_paucinervis-ref
Sphenobaiera_paucipartita	NomRef	Sphenobaiera_paucipartita-ref
Sphenobaiera_pecten	NomRef	Sphenobaiera_pecten-ref
Sphenobaiera_peculiaris	NomRef	Sphenobaiera_peculiaris-ref
Sphenobaiera_petschorica	NomRef	Sphenobaiera_petschorica-ref
Sphenobaiera_pilosa	NomRef	Sphenobaiera_pilosa-ref
Sphenobaiera_polyloba	NomRef	Sphenobaiera_polyloba-ref
Sphenobaiera_polylobata	NomRef	Sphenobaiera_polylobata-ref
Sphenobaiera_pontifolia	NomRef	Sphenobaiera_pontifolia-ref
Sphenobaiera_porrecta	NomRef	Sphenobaiera_porrecta-ref
Sphenobaiera_pseudolongifolia	NomRef	Sphenobaiera_pseudolongifolia-ref
