AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Sphenobaiera_urgalica	17 km from Urgal station, Khabarovsk Krai, Russia	Text	
Sphenobaiera_vigentis	Tutuyassko-Podobasskaya syncline, Kuznetsk basin, Siberia, Russia	Text	
Sphenobaiera_vitimica	Western Transbaikalia, upper reaches of the Vitim River, right bank, Baisa locality, Russia	Text	
Sphenobaiera_vittaefolia	Mouth of Tajmura river, left bank of Nizhnjaja Tungusska, Tungusska river basin, Siberia, Russia	Text	
Sphenobaiera_wangii	Kaihua, Linxian, Shanxi, China	Text	
Sphenobaiera_zalesskyi	Kargala district, Aktobe region, Kazakhstan	Text	
Toretzia_angustifolia	Near road to Druzhkovka, Donetz Basin, Ukraine	Text	
Toretzia_longifolia	Near road to Druzhkovka, Donetz Basin, Ukraine	Text	
Toretzia_shunfaensis	Eastern Heilongjiang Province, China	Text	
Umaltolepis_coleoptera	Zirab, Iran	Text	
Umaltolepis_hebeiensis	China	Text	
Umaltolepis_mongoliensis	Tevshiin Govi coal mine, central Mongolia	Text	
Umaltolepis_rarinervis	Bureja River Basin, Siberia	Text	
Umaltolepis_vachrameevii	Bureja River Basin, Siberia	Text	
Yimaia_capituliformis	Daohugou, Nengcheng County, Chifeng City, Inner Mongolia Autonomous Region, China	Text	
Yimaia_qinghaiensis	Lucaoshan, Da Qaidam, Qinghai Province, China	Text	
Yimaia_recurva	Yima, Henan Province, China	Text	
